,SALE PRICE,TOTAL UNITS,RESIDENTIAL UNITS,COMMERCIAL UNITS,GROSS SQUARE FEET,LAND SQUARE FEET,YEAR BUILT
SALE PRICE,1.0,0.13967133968323428,0.13804057367370778,0.047720775252739746,0.5091304248257044,0.04120095369879967,0.0013703824849484317
TOTAL UNITS,0.13967133968323428,1.0,0.8214260984039992,0.5800000456754739,0.6134246015723241,0.4233754823606704,-0.002516067546614255
RESIDENTIAL UNITS,0.13804057367370778,0.8214260984039992,1.0,0.01184851407720466,0.7073679818083545,0.4794654388483375,-0.004121780900487847
COMMERCIAL UNITS,0.047720775252739746,0.5800000456754739,0.01184851407720466,1.0,0.06512991627219449,0.0574448887995909,0.0014744738323066336
GROSS SQUARE FEET,0.5091304248257044,0.6134246015723241,0.7073679818083545,0.06512991627219449,1.0,0.6578929482740152,0.03501336298719534
LAND SQUARE FEET,0.04120095369879967,0.4233754823606704,0.4794654388483375,0.0574448887995909,0.6578929482740152,1.0,0.02803977288549689
YEAR BUILT,0.0013703824849484317,-0.002516067546614255,-0.004121780900487847,0.0014744738323066336,0.03501336298719534,0.02803977288549689,1.0
