,count,mean,std,min,25%,50%,75%,max,median,skewness
SALE PRICE,29275.0,1636690.6509649872,17009854.12574161,1.0,420000.0,620000.0,950000.0,2210000000.0,620000.0,88.73447127855252
TOTAL UNITS,29275.0,3.3824081981212637,24.598541977363357,1.0,1.0,2.0,2.0,2261.0,2.0,52.29728956363498
RESIDENTIAL UNITS,29275.0,3.0539709649871902,20.039916038038147,0.0,1.0,2.0,2.0,1844.0,2.0,45.548325985354204
COMMERCIAL UNITS,29275.0,0.32983774551665246,14.030078619080133,0.0,0.0,0.0,0.0,2261.0,0.0,145.68821813573578
GROSS SQUARE FEET,29275.0,4606.428249359522,34135.12349907934,120.0,1360.0,1872.0,2672.0,3750565.0,1872.0,58.49988091572556
LAND SQUARE FEET,29275.0,4219.421656703672,35540.777701202715,200.0,2000.0,2500.0,4000.0,4228300.0,2500.0,78.59827573571654
YEAR BUILT,29275.0,1940.7375918018788,30.477369661694794,1835.0,1920.0,1930.0,1960.0,2017.0,1930.0,0.816125194550335
